"","nlcd","elevation","aspect","slope","x","y","aspect_categorical","animal_id","use"
"24521",7,2069.84497070312,213.822006225586,3.25188326835632,-1127760,1724310,"S","D12",0
"264411",7,2064.5537109375,106.917388916016,3.7643780708313,-1127760,1724190,"E","D12",0
"192481",6,2080.53662109375,81.0702743530273,5.50038862228394,-1127550,1724640,"E","D12",0
"25482",7,2067.5947265625,161.861022949219,4.83557796478271,-1127730,1724250,"S","D12",0
"230881",7,2067.05322265625,149.53564453125,6.22428274154663,-1127550,1724400,"S","D12",0
"235642",6,2071.19360351562,132.722763061523,6.5105037689209,-1127670,1724370,"E","D12",0
"20206",6,2086.384765625,125.763290405273,5.96261405944824,-1127610,1724580,"E","D12",0
"23086",6,2070.50439453125,140.109100341797,7.4883599281311,-1127610,1724400,"S","D12",0
"273991",7,2067.6796875,106.787254333496,3.97885346412659,-1127820,1724130,"E","D12",0
"216471",6,2076.8125,143.703643798828,4.86484718322754,-1127580,1724490,"S","D12",0
"240471",7,2062.79858398438,178.294479370117,3.23095011711121,-1127580,1724340,"S","D12",0
"240472",7,2062.79858398438,178.294479370117,3.23095011711121,-1127580,1724340,"S","D12",0
"216491",6,2073.73754882812,119.160842895508,6.33635759353638,-1127520,1724490,"E","D12",0
"178121",7,2078.3134765625,116.804023742676,4.59568738937378,-1127430,1724730,"E","D12",0
"273981",7,2069.44189453125,113.466339111328,3.41439032554626,-1127850,1724130,"E","D12",0
"240442",6,2068.64624023438,122.66064453125,7.45777988433838,-1127670,1724340,"E","D12",0
"20208",6,2080.44482421875,105.292747497559,5.49614715576172,-1127550,1724580,"E","D12",0
"230882",7,2067.05322265625,149.53564453125,6.22428274154663,-1127550,1724400,"S","D12",0
"22605",6,2075.33813476562,144.791793823242,5.32112455368042,-1127640,1724430,"S","D12",0
"26916",7,2073.755859375,113.305534362793,4.82499647140503,-1127910,1724160,"E","D12",0
"264421",7,2063.12475585938,128.590911865234,3.46753263473511,-1127730,1724190,"E","D12",0
"235661",6,2066.89184570312,143.168716430664,7.44470167160034,-1127610,1724370,"S","D12",0
"211671",6,2078.86206054688,137.273880004883,5.09344625473022,-1127580,1724520,"S","D12",0
"25005",7,2061.62060546875,142.966110229492,3.36075925827026,-1127640,1724280,"S","D12",0
"26920",7,2066.44995117188,101.68985748291,4.43009328842163,-1127790,1724160,"E","D12",0
"216451",6,2079.21020507812,147.530670166016,4.93526268005371,-1127640,1724490,"S","D12",0
"18287",6,2085.07690429688,107.368553161621,5.71563863754272,-1127580,1724700,"E","D12",0
"18288",6,2082.23828125,119.473350524902,5.4827446937561,-1127550,1724700,"E","D12",0
"278781",7,2068.35620117188,112.463569641113,3.46856665611267,-1127850,1724100,"E","D12",0
"26919",7,2068.47924804688,104.247497558594,3.83094120025635,-1127820,1724160,"E","D12",0
"21646",6,2078.08251953125,138.775100708008,5.10636377334595,-1127610,1724490,"S","D12",0
"19728",6,2081.04150390625,85.4525375366211,5.71359014511108,-1127550,1724610,"E","D12",0
"250042",7,2063.22631835938,118.059921264648,7.12218999862671,-1127670,1724280,"E","D12",0
"18771",6,2077.22436523438,136.448059082031,6.14575242996216,-1127460,1724670,"S","D12",0
"278762",7,2072.45776367188,83.7346267700195,5.28478193283081,-1127910,1724100,"E","D12",0
"182901",6,2080.02758789062,140.976303100586,3.37961888313293,-1127490,1724700,"S","D12",0
"202071",6,2083.35083007812,111.42992401123,6.78703260421753,-1127580,1724580,"E","D12",0
"26440",7,2067.103515625,95.6083526611328,4.31365156173706,-1127790,1724190,"E","D12",0
"250021",7,2069.79150390625,171.360046386719,4.23703145980835,-1127730,1724280,"S","D12",0
"21169",6,2075.3388671875,112.74983215332,5.80407190322876,-1127520,1724520,"E","D12",0
"24525",7,2063.1376953125,130.100173950195,5.48194980621338,-1127640,1724310,"E","D12",0
"240443",6,2068.64624023438,122.66064453125,7.45777988433838,-1127670,1724340,"E","D12",0
"25478",7,2071.80078125,86.0531768798828,3.83688640594482,-1127850,1724250,"E","D12",0
"202051",6,2087.73315429688,150.031799316406,4.08467531204224,-1127640,1724580,"S","D12",0
"269183",7,2070.30517578125,107.668380737305,3.4984335899353,-1127850,1724160,"E","D12",0
"187672",6,2083.80249023438,90.7050247192383,6.14441728591919,-1127580,1724670,"E","D12",0
"273992",7,2067.6796875,106.787254333496,3.97885346412659,-1127820,1724130,"E","D12",0
"24528",7,2063.9375,294.9541015625,4.30767965316772,-1127550,1724310,"W","D12",0
"173292",6,2084.02954101562,131.914703369141,5.12972211837769,-1127520,1724760,"E","D12",0
"245241",6,2065.8759765625,119.98445892334,7.97394561767578,-1127670,1724310,"E","D12",0
"21650",6,2070.78198242188,113.483001708984,6.56571102142334,-1127490,1724490,"E","D12",0
"28837",7,2069.07055664062,98.3764190673828,5.23408699035645,-1127880,1724040,"E","D12",0
"182881",6,2082.23828125,119.473350524902,5.4827446937561,-1127550,1724700,"E","D12",0
"216452",6,2079.21020507812,147.530670166016,4.93526268005371,-1127640,1724490,"S","D12",0
"278792",7,2066.79321289062,108.168395996094,3.93076086044312,-1127820,1724100,"E","D12",0
"27875",7,2075.4287109375,74.2640380859375,6.40701627731323,-1127940,1724100,"E","D12",0
"216492",6,2073.73754882812,119.160842895508,6.33635759353638,-1127520,1724490,"E","D12",0
"269211",7,2064.1865234375,101.283531188965,4.14959192276001,-1127760,1724160,"E","D12",0
"25964",7,2060.83447265625,117.134750366211,4.29450416564941,-1127670,1724220,"E","D12",0
"163711",6,2084.58129882812,116.574554443359,5.72044277191162,-1127460,1724820,"E","D12",0
"27397",7,2070.86645507812,111.509857177734,3.77643918991089,-1127880,1724130,"E","D12",0
"206881",6,2078.96313476562,118.272994995117,5.02010297775269,-1127550,1724550,"E","D12",0
"178111",7,2079.86206054688,119.112915039062,3.40060329437256,-1127460,1724730,"E","D12",0
"25486",7,2061.96337890625,265.434265136719,3.68722200393677,-1127610,1724250,"W","D12",0
"178082",6,2084.20776367188,122.990287780762,5.32391977310181,-1127550,1724730,"E","D12",0
"20209",6,2077.9775390625,95.9355087280273,5.53005409240723,-1127520,1724580,"E","D12",0
"19250",6,2075.9443359375,122.659561157227,5.32671642303467,-1127490,1724640,"E","D12",0
"23081",6,2076.18798828125,172.855361938477,6.80534648895264,-1127760,1724400,"S","D12",0
"254802",7,2067.76440429688,107.326583862305,3.22760248184204,-1127790,1724250,"E","D12",0
"202072",6,2083.35083007812,111.42992401123,6.78703260421753,-1127580,1724580,"E","D12",0
"22125",6,2077.333984375,146.404663085938,4.29979419708252,-1127640,1724460,"S","D12",0
"192511",6,2073.80932617188,130.281814575195,7.08230686187744,-1127460,1724640,"E","D12",0
